,close,foreignNotional,high,homeNotional,lastSize,low,open,symbol,timestamp,trades,turnover,volume,vwap
0,964.83,2366859.0,964.83,2477.706241229999,9551,943.24,959.14,XBTUSD,2017-01-01 00:00:00+00:00,639,247770624123,2366859,955.2649
1,1001.11,2249061.0,1014.97,2298.2991726499977,2000,961.11,964.83,XBTUSD,2017-01-02 00:00:00+00:00,797,229829917265,2249061,978.5789
2,1020.9,2457024.0,1037.32,2412.7780439399994,4842,998.48,1001.11,XBTUSD,2017-01-03 00:00:00+00:00,829,241277804394,2457024,1018.3403
3,1037.28,2885260.0,1038.87,2813.8564831500003,2127,1014.55,1020.9,XBTUSD,2017-01-04 00:00:00+00:00,993,281385648315,2885260,1025.3781
4,1124.88,8343693.0,1152.76,7661.074699309994,658,1032.08,1037.28,XBTUSD,2017-01-05 00:00:00+00:00,1498,766107469931,8343693,1089.1111
5,1002.18,7302953.0,1500.0,6901.6414023000025,9374,893.98,1124.88,XBTUSD,2017-01-06 00:00:00+00:00,1209,690164140230,7302953,1058.1563
6,893.41,3522639.0,1029.81,3827.433000369998,2456,853.44,1002.18,XBTUSD,2017-01-07 00:00:00+00:00,855,382743300037,3522639,920.3696
7,904.97,5458037.0,915.74,6247.373957819988,1,809.48,893.41,XBTUSD,2017-01-08 00:00:00+00:00,1170,624737395782,5458037,873.66
8,908.94,2831704.0,941.5,3103.638315569999,7118,876.2,904.97,XBTUSD,2017-01-09 00:00:00+00:00,902,310363831557,2831704,912.3838
9,899.04,2500358.0,910.64,2808.2422877999957,1000,868.29,908.94,XBTUSD,2017-01-10 00:00:00+00:00,1082,280824228780,2500358,890.3689
10,902.59,2512430.0,938.53,2778.393400649997,981,790.56,899.04,XBTUSD,2017-01-11 00:00:00+00:00,754,277839340065,2512430,904.2818
11,764.99,3968301.0,917.77,4884.501884569999,1,741.28,902.59,XBTUSD,2017-01-12 00:00:00+00:00,1416,488450188457,3968301,812.4335
