,close,foreignNotional,high,homeNotional,lastSize,low,open,symbol,timestamp,trades,turnover,volume,vwap
0,13940.0,4031443.0,15000.0,274.7580821900001,7,13300.0,14795.0,XBTUSD,2018-01-01 00:00:00+00:00,3735,27475808219,4031443,14673.5143
1,13498.5,1128720.0,13977.0,83.25976967999998,9,13401.5,13940.0,XBTUSD,2018-01-01 01:00:00+00:00,766,8325976968,1128720,13557.4837
2,13407.0,302886.0,13600.0,22.493510699999995,2,13407.0,13498.5,XBTUSD,2018-01-01 02:00:00+00:00,882,2249351070,302886,13466.1998
3,13578.0,307848.0,13600.0,22.64348776,9,13402.5,13407.0,XBTUSD,2018-01-01 03:00:00+00:00,633,2264348776,307848,13596.1931
4,13580.5,484459.0,13600.0,35.643499930000004,6,13519.0,13578.0,XBTUSD,2018-01-01 04:00:00+00:00,521,3564349993,484459,13592.4969
5,13447.5,623175.0,13600.0,45.86263175000002,1,13438.0,13580.5,XBTUSD,2018-01-01 05:00:00+00:00,652,4586263175,623175,13588.8028
6,13625.0,381792.0,13625.0,28.241416999999995,1,13302.5,13447.5,XBTUSD,2018-01-01 06:00:00+00:00,749,2824141700,381792,13518.9942
7,13541.5,381226.0,13625.0,28.00416622999999,4,13510.5,13625.0,XBTUSD,2018-01-01 07:00:00+00:00,630,2800416623,381226,13614.7039
8,13548.5,1937185.0,13625.0,144.23976410999998,5,12929.0,13541.5,XBTUSD,2018-01-01 08:00:00+00:00,934,14423976411,1937185,13431.8334
9,13439.0,1611981.0,13625.0,118.84056715999995,4,13341.5,13548.5,XBTUSD,2018-01-01 09:00:00+00:00,748,11884056716,1611981,13564.8399
10,13486.0,2823207.0,13625.0,208.92122647999997,5,13400.0,13439.0,XBTUSD,2018-01-01 10:00:00+00:00,655,20892122648,2823207,13513.5135
11,13470.5,490824.0,13567.0,36.35769429,4,13341.5,13486.0,XBTUSD,2018-01-01 11:00:00+00:00,1002,3635769429,490824,13500.7425
12,13378.0,2102809.0,13555.5,157.02970124999993,1,13168.5,13470.5,XBTUSD,2018-01-01 12:00:00+00:00,766,15702970125,2102809,13392.2593
13,13364.0,2025083.0,13625.0,150.63594065,2,12925.5,13378.0,XBTUSD,2018-01-01 13:00:00+00:00,1322,15063594065,2025083,13444.4743
14,12983.5,1222861.0,13625.0,93.98734073000003,8,12510.5,13364.0,XBTUSD,2018-01-01 14:00:00+00:00,1414,9398734073,1222861,13012.3617
15,12900.5,525649.0,13063.0,40.78202622,9,12538.5,12983.5,XBTUSD,2018-01-01 15:00:00+00:00,798,4078202622,525649,12889.9201
16,12928.0,1092143.0,12929.5,84.65178857,8,12869.5,12900.5,XBTUSD,2018-01-01 16:00:00+00:00,674,8465178857,1092143,12903.2258
17,13011.0,1499567.0,13500.0,114.65092476999999,6,12869.5,12928.0,XBTUSD,2018-01-01 17:00:00+00:00,2205,11465092477,1499567,13080.4447
