,close,foreignNotional,high,homeNotional,lastSize,low,open,symbol,timestamp,trades,turnover,volume,vwap
0,964.83,68048.0,964.83,70.61145282999999,9551.0,962.12,962.38,XBTUSD,2017-01-01 00:00:00+00:00,20,7061145283,68048,963.6975
1,965.79,126123.0,965.98,130.67617054,1493.0,964.07,964.83,XBTUSD,2017-01-01 01:00:00+00:00,41,13067617054,126123,965.1578
2,963.37,60404.0,966.06,62.60804560999999,1413.0,963.17,965.79,XBTUSD,2017-01-01 02:00:00+00:00,27,6260804561,60404,964.804
3,962.61,87254.0,964.57,90.56302874999999,1187.0,962.6,963.37,XBTUSD,2017-01-01 03:00:00+00:00,28,9056302875,87254,963.4654
4,963.14,159405.0,963.54,165.49928609,7000.0,962.44,962.61,XBTUSD,2017-01-01 04:00:00+00:00,42,16549928609,159405,963.1777
5,961.79,177349.0,963.29,184.30803474,5154.0,961.11,963.14,XBTUSD,2017-01-01 05:00:00+00:00,57,18430803474,177349,962.2509
6,962.85,68266.0,962.93,70.93645768000002,1747.0,961.97,961.79,XBTUSD,2017-01-01 06:00:00+00:00,33,7093645768,68266,962.362
7,963.6,52070.0,963.82,54.06641653000002,2000.0,962.65,962.85,XBTUSD,2017-01-01 07:00:00+00:00,29,5406641653,52070,963.0757
8,964.92,62732.0,965.14,65.02756332999999,3889.0,963.82,963.6,XBTUSD,2017-01-01 08:00:00+00:00,27,6502756333,62732,964.7016
9,964.64,132670.0,964.92,137.58404875999997,4391.0,963.75,964.92,XBTUSD,2017-01-01 09:00:00+00:00,44,13758404876,132670,964.2923
10,965.11,38456.0,965.11,39.85759863,1340.0,964.44,964.64,XBTUSD,2017-01-01 10:00:00+00:00,18,3985759863,38456,964.8412
11,974.15,103960.0,974.15,107.17922031000002,2000.0,964.99,965.11,XBTUSD,2017-01-01 11:00:00+00:00,43,10717922031,103960,969.9697
12,975.1,84777.0,975.16,86.96757937000001,2000.0,974.14,974.15,XBTUSD,2017-01-01 12:00:00+00:00,30,8696757937,84777,974.8204
